Round,Description,Total,Success,Error,Avg(ms),Max(ms),Min(ms),TotalTime(s),Throughput(tps),SuccessRate,ErrorRate
1,352,15,13,2,5,10,1,0.079,0.499997,0.866667,0.133333
1,353,10,8,2,6,10,2,0.061,0.333331,0.8,0.2
1,354,7,6,1,6,10,3,0.042,0.233332,0.857143,0.142857
1,355,6,4,2,5,9,3,0.034,0.199999,0.666667,0.333333
1,356,30,25,5,5,10,1,0.163,0.999994,0.833333,0.166667
1,357,15,12,3,5,10,1,0.089,0.499997,0.8,0.2
1,358,10,8,2,5,8,2,0.059,0.333331,0.8,0.2
1,359,7,7,0,3,6,1,0.021,0.233332,1,0
1,360,6,3,3,4,9,1,0.025,0.199999,0.5,0.5
1,361,30,27,3,4,10,1,0.136,0.999994,0.9,0.1
1,362,15,15,0,5,9,2,0.078,0.499997,1,0
1,363,10,9,1,5,10,1,0.054,0.333331,0.9,0.1
1,364,7,7,0,6,10,2,0.046,0.233332,1,0
1,365,6,5,1,6,10,3,0.04,0.199999,0.833333,0.166667
1,366,30,27,3,6,10,1,0.193,0.999994,0.9,0.1
1,367,15,13,2,6,10,1,0.093,0.499997,0.866667,0.133333
1,368,10,9,1,6,10,1,0.061,0.333331,0.9,0.1
1,369,7,6,1,5,10,1,0.036,0.233332,0.857143,0.142857
1,370,6,4,2,6,9,2,0.038,0.199999,0.666667,0.333333
1,371,30,25,5,5,10,1,0.166,0.999994,0.833333,0.166667
1,372,15,15,0,5,9,1,0.082,0.499997,1,0
1,373,10,7,3,5,10,2,0.057,0.333331,0.7,0.3
1,374,7,5,2,4,9,1,0.029,0.233332,0.714286,0.285714
1,375,6,6,0,6,10,2,0.036,0.199999,1,0
1,376,30,30,0,5,10,1,0.15,0.999994,1,0
1,377,15,13,2,3,7,1,0.053,0.499997,0.866667,0.133333
1,378,10,10,0,6,10,1,0.065,0.333331,1,0
1,379,7,5,2,5,10,1,0.039,0.233332,0.714286,0.285714
1,380,6,6,0,5,7,3,0.033,0.199999,1,0
1,381,30,24,6,4,10,1,0.148,0.999994,0.8,0.2
1,382,15,15,0,6,10,2,0.098,0.499997,1,0
1,383,10,10,0,4,8,1,0.047,0.333331,1,0
1,384,7,6,1,6,10,3,0.043,0.233332,0.857143,0.142857
1,385,6,6,0,7,10,4,0.042,0.199999,1,0
1,386,30,26,4,5,10,1,0.152,0.999994,0.866667,0.133333
1,387,15,15,0,6,10,1,0.097,0.499997,1,0
1,388,10,6,4,6,10,3,0.064,0.333331,0.6,0.4
1,389,7,6,1,5,9,1,0.035,0.233332,0.857143,0.142857
1,390,6,6,0,2,4,1,0.013,0.199999,1,0
1,391,30,27,3,5,10,1,0.175,0.999994,0.9,0.1
1,392,15,12,3,6,9,1,0.094,0.499997,0.8,0.2
1,393,10,9,1,3,9,1,0.033,0.333331,0.9,0.1
1,394,7,6,1,3,9,1,0.026,0.233332,0.857143,0.142857
1,395,6,5,1,6,10,1,0.036,0.199999,0.833333,0.166667
1,396,30,26,4,5,10,1,0.169,0.999994,0.866667,0.133333
1,397,15,15,0,5,10,1,0.08,0.499997,1,0
1,398,10,8,2,6,10,3,0.064,0.333331,0.8,0.2
1,399,7,6,1,4,10,1,0.033,0.233332,0.857143,0.142857
1,400,6,6,0,6,9,1,0.037,0.199999,1,0
1,401,30,26,4,5,10,1,0.165,0.999994,0.866667,0.133333
1,402,15,13,2,4,10,1,0.067,0.499997,0.866667,0.133333
1,403,10,8,2,6,9,1,0.062,0.333331,0.8,0.2
1,404,7,6,1,3,8,1,0.023,0.233332,0.857143,0.142857
1,405,6,5,1,4,7,1,0.026,0.199999,0.833333,0.166667
1,406,30,27,3,5,10,1,0.167,0.999994,0.9,0.1
1,407,15,13,2,4,10,1,0.073,0.499997,0.866667,0.133333
1,408,10,10,0,4,10,1,0.046,0.333331,1,0
1,409,7,7,0,3,5,1,0.022,0.233332,1,0
1,410,6,6,0,5,10,2,0.031,0.199999,1,0
1,411,30,27,3,4,10,1,0.148,0.999994,0.9,0.1
1,412,15,14,1,5,10,1,0.078,0.499997,0.933333,0.0666667
1,413,10,10,0,5,10,1,0.059,0.333331,1,0
1,414,7,7,0,4,9,2,0.032,0.233332,1,0
1,415,6,4,2,4,9,1,0.027,0.199999,0.666667,0.333333
1,416,30,25,5,6,10,2,0.186,0.999994,0.833333,0.166667
