轮次编号,任务描述,总执行次数,成功次数,失败次数,平均耗时(ms),最大耗时(ms),最小耗时(ms),总耗时(s),吞吐量(tps),成功率,错误率
1,83,10,7,3,6,10,2,0.065,0.333328,0.7,0.3
1,84,8,8,0,6,9,2,0.049,0.266663,1,0
1,85,6,5,1,6,11,2,0.039,0.199997,0.833333,0.166667
1,86,19,17,2,5,11,1,0.111,0.633324,0.894737,0.105263
1,87,16,13,3,5,11,1,0.08,0.533325,0.8125,0.1875
1,88,10,7,3,5,10,1,0.052,0.333328,0.7,0.3
1,89,8,8,0,6,10,1,0.048,0.266663,1,0
1,90,6,6,0,6,10,2,0.036,0.199997,1,0
1,91,19,19,0,5,11,1,0.095,0.633324,1,0
1,92,16,16,0,5,9,1,0.092,0.533325,1,0
1,93,10,10,0,5,9,1,0.052,0.333328,1,0
1,94,8,7,1,6,10,1,0.05,0.266663,0.875,0.125
1,95,6,5,1,6,9,1,0.037,0.199997,0.833333,0.166667
1,96,21,15,6,6,11,1,0.127,0.699989,0.714286,0.285714
1,97,16,15,1,3,10,1,0.063,0.533325,0.9375,0.0625
1,98,10,9,1,7,11,1,0.078,0.333328,0.9,0.1
1,99,8,8,0,5,10,1,0.047,0.266663,1,0
1,100,6,5,1,6,9,3,0.04,0.199997,0.833333,0.166667
1,101,21,19,2,6,10,1,0.136,0.699989,0.904762,0.0952381
1,102,16,12,4,5,11,1,0.088,0.533325,0.75,0.25
1,103,10,6,4,4,10,1,0.049,0.333328,0.6,0.4
1,104,8,8,0,6,11,2,0.053,0.266663,1,0
1,105,6,5,1,5,10,1,0.032,0.199997,0.833333,0.166667
1,106,23,21,2,5,10,1,0.118,0.766655,0.913043,0.0869565
1,107,16,14,2,5,9,1,0.089,0.533325,0.875,0.125
1,108,10,9,1,7,10,2,0.07,0.333328,0.9,0.1
1,109,8,7,1,5,11,1,0.045,0.266663,0.875,0.125
1,110,6,6,0,3,7,1,0.023,0.199997,1,0
1,111,24,21,3,5,10,2,0.133,0.799988,0.875,0.125
1,112,16,16,0,5,10,1,0.094,0.533325,1,0
1,113,10,10,0,7,10,2,0.07,0.333328,1,0
